ann_id,image_id,category_id,x1,y1,w,h,file_name,height,width
0,0,4,141,136,46.8,20.9,000074_jpg.rf.43b1cf49f2af25b300bb62d1e16c454e.jpg,416,416
1,0,4,182,146,38.0,10.5,000074_jpg.rf.43b1cf49f2af25b300bb62d1e16c454e.jpg,416,416
2,0,4,130,364,90.0,25.1,000074_jpg.rf.43b1cf49f2af25b300bb62d1e16c454e.jpg,416,416
3,0,5,63,117,31.6,23.4,000074_jpg.rf.43b1cf49f2af25b300bb62d1e16c454e.jpg,416,416
4,0,4,109,115,5.867,5.9,000074_jpg.rf.43b1cf49f2af25b300bb62d1e16c454e.jpg,416,416
5,0,4,308,157,48.533,32.6,000074_jpg.rf.43b1cf49f2af25b300bb62d1e16c454e.jpg,416,416
6,0,5,265,174,48.533,26.3,000074_jpg.rf.43b1cf49f2af25b300bb62d1e16c454e.jpg,416,416
7,0,5,329,89,58.533,24.2,000074_jpg.rf.43b1cf49f2af25b300bb62d1e16c454e.jpg,416,416
8,1,4,228,149,17.503,29.824,IMG_5048_JPG.rf.43b545cf46e24bf27caab7d0fb18ed68.jpg,416,416
9,2,2,73,0,343.005,284.704,metal269_jpg.rf.43b75a7a26a02f760494030baec53315.jpg,416,416
10,3,4,303,42,69.307,142.908,PET1-266_jpg.rf.43bb02b133d88f300c9df8bc0617ea32.jpg,416,416
11,4,4,47,1,368.875,413.833,plastic82_jpg.rf.43bb93454d7220117b40630caaf49ae5.jpg,416,416
12,5,1,120,0,113.344,248.625,glass238_jpg.rf.43be6de9206205f3b1cf73b126f6e2cd.jpg,416,416
13,6,4,96,134,47.956,47.759,000049_jpg.rf.43cfcef9fbe50018c4464d2cd89df205.jpg,416,416
14,7,4,170,142,18.15,42.369,000078_jpg.rf.43d2da6fbaff5ec6d3ed7f02514e6aa0.jpg,416,416
15,8,2,146,171,149.467,110.253,000008_jpg.rf.43da4b54b711ec0769c8df17b1189980.jpg,416,416
16,9,5,287,209,7.526,2.912,000045_jpg.rf.43e49ed5bec1aeff939968ef33025dae.jpg,416,416
17,10,1,166,80,83.688,262.708,glass214_jpg.rf.43e6f9da49c68641c41da8e6a15be39c.jpg,416,416
18,11,4,116,158,76.311,46.008,000085_JPG.rf.43ebfbb3f1601cff077d313b139d3879.jpg,416,416
19,12,4,0,0,403.059,409.129,000004_jpg.rf.43f011407b1a7e7f43607ac959b43a7a.jpg,416,416
20,13,4,111,37,144.7,267.6,000075_jpg.rf.43faccf7a8f14d3c246cf5ebf4c36afd.jpg,416,416
21,14,4,116,207,40.321,25.488,000038_JPG.rf.44040f20db878fe9344b9a4999f10eee.jpg,416,416
22,14,4,195,121,6.682,3.792,000038_JPG.rf.44040f20db878fe9344b9a4999f10eee.jpg,416,416
23,14,5,300,42,8.7,2.393,000038_JPG.rf.44040f20db878fe9344b9a4999f10eee.jpg,416,416
24,14,5,368,76,5.197,3.856,000038_JPG.rf.44040f20db878fe9344b9a4999f10eee.jpg,416,416
25,15,4,111,67,187.753,349.465,000005_jpg.rf.44248b2b7e737af4e0febaf697c0ed5d.jpg,416,416
26,16,2,171,168,49.563,77.458,metal166_jpg.rf.4408811055ba7c1c949d4cd7fc6d3f18.jpg,416,416
27,17,4,88,69,214.84,245.652,PET1-682_jpg.rf.43f111a7f8da64e111893d9bd6d39157.jpg,416,416
